Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,9.097733723512551,-5.8383545149303519,6.238029916166397,-3.8454685041967879,9.635329095865619 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.91005198292571,-8.305199827627604,5.638929977605642,-5.932769782306991,9.52700555119026 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,8.702062245737999,-10.779959665424915,5.032420825471604,-8.026086638230482,9.387677154398702 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,8.478262727847254,-13.261369667415919,4.410503788063238,-10.126811416308556,9.227287100675364 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,8.399616032013093,-13.06190934008236,4.334196529994074,-9.96306257661547,9.08279768757162 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,8.308235237984782,-12.88504701910331,4.2906932463041589,-9.820724755540028,8.970473395475219 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,8.23412634554682,-12.707049136956537,4.253270107078947,-9.677899314321849,8.88419517893753 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,8.171020684657562,-12.529145073289195,4.228545390963063,-9.532453549469608,8.81267664882855 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.109560917321592,-12.401432567535018,4.212944457851563,-9.379454448022557,8.747128357974454 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.051059429971348,-12.275016735926103,4.1990344797508218,-9.226156988818787,8.68342755258696 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,7.993309796213936,-12.150037175400613,4.186773847554946,-9.0725426182521,8.620520837717324 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.936037641379393,-12.026547065054054,4.175130461348999,-8.91886776936201,8.558372302689874 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.874918792450616,-12.000508784331514,4.111216227913246,-8.966294269636478,8.49606153863473 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.814207668483517,-11.975467144204542,4.050729952775214,-9.012152039107491,8.433223135584106 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.753290267689284,-11.951846548426842,3.9906253132691065,-9.056864786958272,8.370012554576097 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.692296796589139,-11.92951961472095,3.930735011031288,-9.100362834778594,8.306693822731076 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,7.6368928546734529,-11.80780607676776,3.9090675361458695,-9.016068207998956,8.244559719963626 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,7.5817405965976489,-11.686144730945732,3.885019903856005,-8.923564655911833,8.18410411557395 
